"","Participant","Day","Block","Pnum","Problem","Base","Height","Answer","Practice","Trained","Seen","Time","Correct","ComputeTimeout","InputTimeout","ComputeDuration","InputDuration","FeedbackDuration","BlankDuration","BackspaceCount","Input","Interference4","InterDist4","Interference8","InterDist8","TotalSolved","Phase","Likelihood1","Likelihood2","Likelihood3","CountPhase","AllExpose","ExactSpacing","D1RT","LIK1","LIK2","LIK3","CNTPHS","PHS","allPHS","allCNTPHS","Experiment_Instance","Day_Trial","Milli_sec","Cumulative_Time","Time_Stamp_v2","ID","Instances","TrialTimeSec","TrialTimeMin_diff","TrialTimeSec_sumDiff","TrialTimeSec_sumDiffneg75","T","N","c","s","InvLogTime_diff","CumAveInvLogTime_diff","CumAveInvLogTime_diff_lag1"
"11",2,1,1,1,"8$7=35",8,7,35,0,0,0,19668,1,0,0,15868,1047,2000,751,0,35,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,19668,134372,134.372,"8$7=35",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"12",2,1,1,2,"7$3=18",7,3,18,0,4,0,6221,1,0,0,2569,897,2002,751,0,18,0,0,0,0,12,1,1,0,0,1,1,NA,0,0,0,0,0,0,0,0,12,12,6221,140593,140.593,"7$3=18",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"13",2,1,1,3,"10$4=34",10,4,34,0,8,0,11181,0,0,0,7129,799,2500,750,0,33,0,0,0,0,13,1,1,0,0,1,2,NA,0,0,0,0,0,0,0,0,13,13,11181,151774,151.774,"10$4=34",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"14",2,1,1,4,"11$4=38",11,4,38,0,16,0,8870,1,0,0,4997,1115,2001,755,0,38,0,0,0,0,14,1,1,0,0,1,3,NA,0,0,0,0,0,0,0,0,14,14,8870,160644,160.644,"11$4=38",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"15",2,1,1,5,"7$5=25",7,5,25,0,8,0,9683,1,0,0,6049,881,2000,750,0,25,0,0,0,0,15,1,1,0,0,1,4,NA,0,0,0,0,0,0,0,0,15,15,9683,170327,170.327,"7$5=25",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"16",2,1,1,6,"7$3=18",7,3,18,0,4,1,6204,1,0,0,2563,887,2000,752,0,18,0,0,0,0,16,2,0.127124023,0.872875977,0,1,5,3,0,0,0,0,0,0,0,0,16,16,6204,176531,176.531,"7$3=18",2,35.938,35.938,35.938,0.0681294011786543,35.938,1,0.1,0.1,0.27361957404524,0.13680978702262,0
"17",2,1,1,7,"9$5=35",9,5,35,0,16,0,12839,1,0,0,9147,935,2000,754,0,35,0,0,0,0,17,1,1,0,0,1,6,NA,0,0,0,0,0,0,0,0,17,17,12839,189370,189.37,"9$5=35",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"18",2,1,1,8,"10$5=40",10,5,40,0,32,0,12390,0,0,0,7953,1183,2501,750,0,39,0,0,0,0,18,1,1,0,0,1,7,NA,0,0,0,0,0,0,0,0,18,18,12390,201760,201.76,"10$5=40",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"19",2,1,1,9,"3$3=6",3,3,6,0,16,0,5487,1,0,0,2053,681,2001,750,0,6,0,0,0,0,19,1,1,0,0,1,8,NA,0,0,0,0,0,0,0,0,19,19,5487,207247,207.247,"3$3=6",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"20",2,1,1,10,"7$3=18",7,3,18,0,4,2,5807,1,0,0,2204,846,2000,751,0,18,0,0,0,0,20,2,0.012580069,0.660554826,0.326865105,2,9,3,0,0,0,0,0,0,0,0,20,20,5807,213054,213.054,"7$3=18",3,72.461,36.523,108.984,0.107573763235157,49.9744561486656,2,0.1,0.1,0.272499663627475,0.182039745890905,0.13680978702262
"21",2,1,1,11,"10$4=34",10,4,34,0,8,1,9071,1,0,0,5333,985,2001,750,0,34,0,0,0,0,21,1,0.95598278,0.04401722,0,2,10,7,0,0,0,0,0,0,0,0,21,21,9071,222125,222.125,"10$4=34",2,70.351,70.351,70.351,0.0411668174607259,70.351,1,0.1,0.1,0.23302375040266,0.11651187520133,0
"22",2,1,1,12,"7$4=22",7,4,22,0,32,0,13295,1,0,0,9781,759,2000,752,0,22,0,0,0,0,22,1,1,0,0,1,11,NA,0,0,0,0,0,0,0,0,22,22,13295,235420,235.42,"7$4=22",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"23",2,1,1,13,"7$5=25",7,5,25,0,8,1,18892,1,0,0,15137,999,2004,750,0,25,0,0,0,0,23,1,0.999996933,3.07e-06,0,2,12,7,0,0,0,0,0,0,0,0,23,23,18892,254312,254.312,"7$5=25",2,83.985,83.985,83.985,0.0360453050329636,83.985,1,0.1,0.1,0.224090050853407,0.112045025426704,0
"24",2,1,1,14,"7$3=18",7,3,18,0,4,3,5917,1,0,0,2176,985,2002,751,0,18,0,0,0,0,24,3,0.000904475,0.36703005,0.632065475,1,13,3,0,0,0,0,0,0,0,0,24,24,5917,260229,260.229,"7$3=18",4,119.636,47.175,250.509,0.119336230635986,75.0206192018758,3,0.1,0.1,0.255761909086505,0.200470286689805,0.182039745890905
"25",2,1,1,15,"8$6=33",8,6,33,0,16,0,18982,1,0,0,15389,839,2000,752,0,33,0,0,0,0,25,1,1,0,0,1,14,NA,0,0,0,0,0,0,0,0,25,25,18982,279211,279.211,"8$6=33",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"26",2,1,1,16,"9$6=39",9,6,39,0,32,0,18329,1,0,0,14601,975,2001,750,0,39,0,0,0,0,26,1,1,0,0,1,15,NA,0,0,0,0,0,0,0,0,26,26,18329,297540,297.54,"9$6=39",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"27",2,1,1,17,"8$5=30",8,5,30,0,0,1,16101,1,0,0,11933,1415,2000,750,0,30,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,16101,313641,313.641,"8$5=30",2,198.937,198.937,198.937,0.0188783192733665,198.937,1,0.1,0.1,0.188446009070031,0.0942230045350154,0
"28",2,1,1,18,"7$3=18",7,3,18,0,4,4,5367,1,0,0,1761,849,2002,752,0,18,0,0,0,0,28,3,4.17e-05,0.146608973,0.853349302,2,16,2,0,0,0,0,0,0,0,0,28,28,5367,319008,319.008,"7$3=18",5,178.415,58.779,485.625,0.122120617206226,107.163545532965,4,0.1,0.1,0.242777787154531,0.20893178678275,0.200470286689805
"29",2,1,1,19,"10$4=34",10,4,34,0,8,2,11463,1,0,0,7785,926,2000,750,0,34,0,0,0,0,29,1,0.899447515,0.100552485,6.11e-17,3,17,6,0,0,0,0,0,0,0,0,29,29,11463,330471,330.471,"10$4=34",3,178.697,108.346,287.043,0.0502379469898446,136.997703323749,2,0.1,0.1,0.212309305009806,0.148444351804155,0.11651187520133
"30",2,1,1,20,"11$4=38",11,4,38,0,16,1,8316,1,0,0,4659,905,2000,750,0,38,0,0,0,0,30,1,0.965526686,0.034473314,0,2,18,14,0,0,0,0,0,0,0,0,30,30,8316,338787,338.787,"11$4=38",2,178.143,178.143,178.143,0.0205080056632628,178.143,1,0.1,0.1,0.192391666138492,0.096195833069246,0
"31",2,1,1,21,"7$5=25",7,5,25,0,8,2,14930,1,0,0,11244,927,2004,752,0,25,0,0,0,0,31,1,0.999496962,0.000503038,1.02e-23,3,19,6,0,0,0,0,0,0,0,0,31,31,14930,353717,353.717,"7$5=25",3,183.39,99.405,282.795,0.0518309763750911,131.919763439419,2,0.1,0.1,0.216161031878079,0.146750360910496,0.112045025426704
"32",2,1,1,22,"7$3=18",7,3,18,0,4,5,7066,1,0,0,1277,3033,2003,750,2,18,0,0,0,0,32,3,1.81e-06,0.045544425,0.954453767,3,20,3,0,0,0,0,0,0,0,0,32,32,7066,360783,360.783,"7$3=18",6,220.19,41.775,694.5,0.15343910472463,109.044401803532,5,0.1,0.1,0.263481130084836,0.218023343999765,0.20893178678275
"33",2,1,1,23,"9$5=35",9,5,35,0,16,1,10797,1,0,0,7018,1014,2011,750,0,35,0,0,0,0,33,2,0.282294153,0.717705847,0,1,21,14,0,0,0,0,0,0,0,0,33,33,10797,371580,371.58,"9$5=35",2,182.21,182.21,182.21,0.0201637286289757,182.21,1,0.1,0.1,0.191572052526781,0.0957860262633905,0
"34",2,1,1,24,"8$3=21",8,3,21,0,32,0,6557,1,0,0,3062,737,2001,754,0,21,0,0,0,0,34,1,1,0,0,1,22,NA,0,0,0,0,0,0,0,0,34,34,6557,378137,378.137,"8$3=21",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"35",2,1,1,25,"3$3=6",3,3,6,0,16,1,4935,1,0,0,1486,694,2001,752,0,6,0,0,0,0,35,2,0.047329022,0.952670978,0,1,23,14,0,0,0,0,0,0,0,0,35,35,4935,383072,383.072,"3$3=6",2,175.825,175.825,175.825,0.020710449762485,175.825,1,0.1,0.1,0.192870315526994,0.0964351577634972,0
"36",2,1,1,26,"7$3=18",7,3,18,0,4,6,5228,1,0,0,1633,841,2001,750,0,18,0,0,0,0,36,3,5.7e-08,0.015429747,0.984570196,4,24,3,0,0,0,0,0,0,0,0,36,36,5228,388300,388.3,"7$3=18",7,247.707,27.517,859.602,0.205929747500911,96.9258838931736,6,0.1,0.1,0.293340337014434,0.228782914430431,0.218023343999765
"37",2,1,1,27,"10$4=34",10,4,34,0,8,3,9902,1,0,0,6002,1143,2005,750,0,34,0,0,0,0,37,1,0.706370462,0.293629538,1.19e-13,4,25,7,0,0,0,0,0,0,0,0,37,37,9902,398202,398.202,"10$4=34",4,246.428,67.731,490.236,0.0791216896606649,132.372928794626,3,0.1,0.1,0.235023533988825,0.170089147350323,0.148444351804155
"38",2,1,1,28,"5$5=15",5,5,15,0,0,1,9896,1,0,0,6336,807,2000,751,0,15,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,9896,408098,408.098,"5$5=15",2,388.08,388.08,388.08,0.0114369192233886,388.08,1,0.1,0.1,0.167554944583148,0.0837774722915741,0
"39",2,1,1,29,"7$5=25",7,5,25,0,8,3,8343,1,0,0,4739,848,2003,751,0,25,0,0,0,0,39,1,0.990677779,0.009322221,3.23e-17,4,26,6,0,0,0,0,0,0,0,0,39,39,8343,416441,416.441,"7$5=25",4,246.114,62.724,470.967,0.0829693673526147,124.664859548772,3,0.1,0.1,0.239167588075372,0.169854667701715,0.146750360910496
"40",2,1,1,30,"7$3=18",7,3,18,0,4,7,4595,1,0,0,996,846,2000,751,0,18,0,0,0,0,40,3,1.49e-09,0.003572647,0.996427352,5,27,2,0,0,0,0,0,0,0,0,40,40,4595,421036,421.036,"7$3=18",8,280.443,32.736,1088.754,0.22162733037575,107.213414703123,7,0.1,0.1,0.280249890814389,0.235216286478426,0.228782914430431
"41",2,1,1,31,"8$6=33",8,6,33,0,16,1,17562,0,0,0,13053,1255,2502,750,0,34,0,0,0,0,41,1,0.999999996,3.67e-09,0,2,28,13,0,0,0,0,0,0,0,0,41,41,17562,438598,438.598,"8$6=33",2,159.387,159.387,159.387,0.022292579685984,159.387,1,0.1,0.1,0.19653137793381,0.0982656889669049,0
"42",2,1,1,32,"8$2=15",8,2,15,0,0,0,5067,1,0,0,1613,700,2002,750,0,15,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,5067,443665,443.665,"8$2=15",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"43",2,1,1,33,"11$2=21",11,2,21,0,0,0,5009,1,0,0,1337,918,2002,750,0,21,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,5009,448674,448.674,"11$2=21",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"44",2,1,1,34,"7$3=18",7,3,18,0,4,8,4611,1,0,0,1089,769,2000,750,0,18,0,0,0,0,44,3,3.64e-11,0.000871553,0.999128447,6,29,1,0,0,0,0,0,0,0,0,44,44,4611,453285,453.285,"7$3=18",9,312.692,32.249,1346.746,0.240344966045792,115.150798102291,8,0.1,0.1,0.28134042127747,0.240341190344987,0.235216286478426
"45",2,1,1,35,"10$4=34",10,4,34,0,8,4,7589,1,0,0,3646,1190,2001,750,0,34,0,0,0,0,45,2,0.442523728,0.557476272,3.38e-11,1,30,4,0,0,0,0,0,0,0,0,45,45,7589,460874,460.874,"10$4=34",5,309.1,62.672,740.924,0.100838173753382,141.977387485203,4,0.1,0.1,0.239213066428841,0.183913931166026,0.170089147350323
"46",2,1,1,36,"11$4=38",11,4,38,0,16,2,8685,1,0,0,4730,1201,2000,751,0,38,0,0,0,0,46,1,0.935188894,0.064811106,7.47e-13,3,31,12,0,0,0,0,0,0,0,0,46,46,8685,469559,469.559,"11$4=38",3,308.915,130.772,439.687,0.0394304091351795,192.085799686507,2,0.1,0.1,0.204330637478162,0.132240767872218,0.096195833069246
"47",2,1,1,37,"7$5=25",7,5,25,0,8,4,5524,1,0,0,2029,742,2000,750,0,25,0,0,0,0,47,1,0.982673062,0.017326938,1.42e-14,5,32,5,0,0,0,0,0,0,0,0,47,47,5524,475083,475.083,"7$5=25",5,304.756,58.6420000000001,705.535,0.105707308692551,133.569269082551,4,0.1,0.1,0.242909310229353,0.184465596207242,0.169854667701715
"48",2,1,1,38,"7$3=18",7,3,18,0,4,9,4428,1,0,0,939,729,2004,754,0,18,0,0,0,0,48,3,8.33e-13,0.000196018,0.999803982,7,33,3,0,0,0,0,0,0,0,0,48,48,4428,479511,479.511,"7$3=18",10,338.918,26.226,1582.78,0.276580561983229,113.276537613101,9,0.1,0.1,0.297143912236704,0.246021462534158,0.240341190344987
"49",2,1,1,39,"9$5=35",9,5,35,0,16,2,4785,1,0,0,1260,769,2000,753,0,35,0,0,0,0,49,3,0.006495687,0.446870689,0.546633624,1,34,12,0,0,0,0,0,0,0,0,49,49,4785,484296,484.296,"9$5=35",3,294.926,112.716,407.642,0.0429587771473747,172.314523727967,2,0.1,0.1,0.210583888115394,0.134051980214058,0.0957860262633905
"50",2,1,1,40,"10$5=40",10,5,40,0,32,1,17176,1,0,0,13672,747,2000,754,0,40,0,0,0,0,50,1,0.916928162,0.083071838,0,2,35,27,0,0,0,0,0,0,0,0,50,50,17176,501472,501.472,"10$5=40",2,299.712,299.712,299.712,0.0138826348646683,299.712,1,0.1,0.1,0.17507460172442,0.0875373008622099,0
"51",2,1,2,1,"3$3=6",3,3,6,0,16,2,5310,1,0,0,1937,617,2004,750,0,6,0,0,0,0,51,3,0.001513022,0.406340473,0.592146504,1,36,12,0,0,0,0,0,0,0,0,51,51,5310,506782,506.782,"3$3=6",3,299.535,123.71,423.245,0.0408473286586298,183.493492745164,2,0.1,0.1,0.206625436124138,0.133165250550378,0.0964351577634972
"52",2,1,2,2,"7$3=18",7,3,18,0,4,10,4812,1,0,0,887,1169,2000,754,0,18,0,0,0,0,52,3,1.99e-14,4.42e-05,0.999955797,8,37,3,0,0,0,0,0,0,0,0,52,52,4812,511594,511.594,"7$3=18",11,371.001,32.083,1903.61,0.279606583245293,127.306169836943,10,0.1,0.1,0.281717580910929,0.249266564204774,0.246021462534158
"53",2,1,2,3,"10$4=34",10,4,34,0,8,5,7930,1,0,0,1009,4166,2002,750,0,34,0,0,0,0,53,2,0.313562619,0.686437381,6.06e-10,2,38,7,0,0,0,0,0,0,0,0,53,53,7930,519524,519.524,"10$4=34",6,367.75,58.65,1034.174,0.120025271561037,152.68555313854,5,0.1,0.1,0.242901618058883,0.193745212314836,0.183913931166026
"54",2,1,2,4,"7$4=22",7,4,22,0,32,1,8195,1,0,0,4843,598,2000,752,0,22,0,0,0,0,54,1,0.984302863,0.015697137,0,2,39,27,0,0,0,0,0,0,0,0,54,54,8195,527719,527.719,"7$4=22",2,292.299,292.299,292.299,0.0141458647951844,292.299,1,0.1,0.1,0.175838584939254,0.0879192924696272,0
"55",2,1,2,5,"7$5=25",7,5,25,0,8,5,4622,1,0,0,1097,769,2001,753,0,25,0,0,0,0,55,1,0.980070066,0.019929934,6.93e-14,6,40,7,0,0,0,0,0,0,0,0,55,55,4622,532341,532.341,"7$5=25",6,362.014,57.258,991.825,0.123554727543107,146.761637997716,5,0.1,0.1,0.244262924559402,0.194431817599269,0.184465596207242
"56",2,1,2,6,"7$3=18",7,3,18,0,4,11,4449,1,0,0,904,793,2000,750,0,18,0,0,0,0,56,3,5.24e-16,1.05e-05,0.999989487,9,41,3,0,0,0,0,0,0,0,0,56,56,4449,536790,536.79,"7$3=18",12,396.197,25.196,2180.766,0.314530814895408,125.288516921302,11,0.1,0.1,0.300378015097324,0.253525851779153,0.249266564204774
"57",2,1,2,7,"8$6=33",8,6,33,0,16,2,21990,1,0,0,18646,590,2000,752,0,33,0,0,0,0,57,1,0.999999586,4.14e-07,2.62e-30,3,42,13,0,0,0,0,0,0,0,0,57,57,21990,558780,558.78,"8$6=33",3,279.569,120.182,399.751,0.0421761839091604,175.45574037415,2,0.1,0.1,0.207840866968142,0.134790748300651,0.0982656889669049
"58",2,1,2,8,"9$6=39",9,6,39,0,32,1,9736,1,0,0,6062,921,2000,750,0,39,0,0,0,0,58,1,0.683258523,0.316741477,0,2,43,27,0,0,0,0,0,0,0,0,58,58,9736,568516,568.516,"9$6=39",2,270.976,270.976,270.976,0.0149727605502893,270.976,1,0.1,0.1,0.178189221482612,0.0890946107413062,0
"59",2,1,2,9,"7$2=13",7,2,13,0,0,0,5255,1,0,0,1531,969,2000,753,0,13,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,5255,573771,573.771,"7$2=13",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"60",2,1,2,10,"7$3=18",7,3,18,0,4,12,4544,1,0,0,985,803,2001,753,0,18,0,0,0,0,60,3,1.43e-17,2.68e-06,0.999997323,10,44,2,0,0,0,0,0,0,0,0,60,60,4544,578315,578.315,"7$3=18",13,437.722,41.5250000000001,2679.066,0.284645222507992,156.849998038636,12,0.1,0.1,0.263872883532551,0.254321777298645,0.253525851779153
"61",2,1,2,11,"10$4=34",10,4,34,0,8,6,11148,1,0,0,7681,710,2002,752,0,34,0,0,0,0,61,2,0.287304884,0.712695115,1.39e-09,3,45,6,0,0,0,0,0,0,0,0,61,61,11148,589463,589.463,"10$4=34",7,437.689,69.939,1453.808,0.124837583087492,183.771989248151,6,0.1,0.1,0.233331192003082,0.1994003522703,0.193745212314836
"62",2,1,2,12,"11$4=38",11,4,38,0,16,3,11422,1,0,0,7838,830,2001,750,0,38,0,0,0,0,62,1,0.904418997,0.095581003,7.19e-11,4,46,14,0,0,0,0,0,0,0,0,62,62,11422,600885,600.885,"11$4=38",4,440.241,131.326,833.665,0.0515335837218224,232.652929077118,3,0.1,0.1,0.204157870753137,0.150220043592448,0.132240767872218
"63",2,1,2,13,"7$5=25",7,5,25,0,8,6,4761,1,0,0,1305,697,2003,754,0,25,0,0,0,0,63,1,0.979276554,0.020723446,1.72e-13,7,47,6,0,0,0,0,0,0,0,0,63,63,4761,605646,605.646,"7$5=25",7,435.319,73.3049999999999,1431.655,0.12403810377565,184.591083803338,6,0.1,0.1,0.230891445169267,0.199640335823554,0.194431817599269
"64",2,1,2,14,"7$3=18",7,3,18,0,4,13,4484,1,0,0,949,779,2003,750,0,18,0,0,0,0,64,3,4.06e-19,6.87e-07,0.999999313,11,48,3,0,0,0,0,0,0,0,0,64,64,4484,610130,610.13,"7$3=18",14,469.537,31.8149999999999,3092.661,0.30614483155876,160.22041241582,13,0.1,0.1,0.28233246312842,0.256322540572201,0.254321777298645
"65",2,1,2,15,"9$5=35",9,5,35,0,16,3,4440,1,0,0,958,729,2000,750,0,35,0,0,0,0,65,3,0.000152348,0.095011877,0.904835776,2,49,14,0,0,0,0,0,0,0,0,65,65,4440,614570,614.57,"9$5=35",4,425.2,130.274,798.464,0.0528611651751031,224.504591434033,3,0.1,0.1,0.204486804678576,0.151660686330188,0.134051980214058
"66",2,1,2,16,"8$3=21",8,3,21,0,32,1,5575,1,0,0,2106,716,2000,750,0,21,0,0,0,0,66,2,0.171739894,0.828260106,0,1,50,27,0,0,0,0,0,0,0,0,66,66,5575,620145,620.145,"8$3=21",2,242.008,242.008,242.008,0.0162977521172579,242.008,1,0.1,0.1,0.181813541640214,0.0909067708201072,0
"67",2,1,2,17,"3$3=6",3,3,6,0,16,3,4362,1,0,0,1079,529,2001,750,0,6,0,0,0,0,67,3,3.1e-05,0.087128179,0.912840793,2,51,14,0,0,0,0,0,0,0,0,67,67,4362,624507,624.507,"3$3=6",4,417.26,117.725,776.42,0.0551384604376671,213.198164218427,3,0.1,0.1,0.208716896204267,0.15205316196385,0.133165250550378
"68",2,1,2,18,"7$3=18",7,3,18,0,4,14,4682,1,0,0,985,945,2000,750,0,18,0,0,0,0,68,3,1.2e-20,1.84e-07,0.999999816,12,52,3,0,0,0,0,0,0,0,0,68,68,4682,629189,629.189,"7$3=18",15,488.596,19.059,3359.487,0.373511695259732,140.527701065366,14,0.1,0.1,0.32458392390241,0.260873299460881,0.256322540572201
"69",2,1,2,19,"10$4=34",10,4,34,0,8,7,6190,1,0,0,2663,766,2004,755,0,34,0,0,0,0,69,2,0.212117471,0.787882187,3.42e-07,4,53,7,0,0,0,0,0,0,0,0,69,69,6190,635379,635.379,"10$4=34",8,483.605,45.9160000000001,1775.22,0.156696706588769,171.156796399198,7,0.1,0.1,0.257444744007448,0.206655901237443,0.1994003522703
"70",2,1,2,20,"4$4=10",4,4,10,0,0,1,10981,0,0,0,6813,911,2500,754,0,12,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,10981,646360,646.36,"4$4=10",2,617.624,617.624,617.624,0.00807154880707392,617.624,1,0.1,0.1,0.15551443148449,0.077757215742245,0
"71",2,1,2,21,"7$5=25",7,5,25,0,8,7,33262,1,0,0,27966,2542,2000,750,1,25,0,0,0,0,71,1,0.978764825,0.021235175,1e-12,8,54,6,0,0,0,0,0,0,0,0,71,71,33262,679622,679.622,"7$5=25",8,509.295,73.976,1949.487,0.130133258428276,213.370354005612,7,0.1,0.1,0.230423923513039,0.20348828428474,0.199640335823554
"72",2,1,2,22,"7$3=18",7,3,18,0,4,15,4611,1,0,0,929,929,2001,750,0,18,0,0,0,0,72,3,4.22e-22,5.06e-08,0.999999949,13,55,2,0,0,0,0,0,0,0,0,72,72,4611,684233,684.233,"7$3=18",16,543.64,55.044,4185.147,0.29257417595119,202.397913111379,15,0.1,0.1,0.246527901093715,0.259976712062933,0.260873299460881
"73",2,1,2,23,"8$6=33",8,6,33,0,16,3,8130,0,0,0,3789,1086,2500,752,0,39,0,0,0,0,73,1,0.999725152,0.000274848,1.81e-20,4,56,13,0,0,0,0,0,0,0,0,73,73,8130,692363,692.363,"8$6=33",4,413.152,133.583,800.5,0.0520903617106704,228.437097899458,3,0.1,0.1,0.203464274577754,0.151959129869927,0.134790748300651
"74",2,1,2,24,"12$2=23",12,2,23,0,0,0,6161,1,0,0,2796,609,2000,753,0,23,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,6161,698524,698.524,"12$2=23",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"75",2,1,2,25,"10$7=49",10,7,49,0,0,0,13368,0,0,0,6394,3718,2503,750,0,51,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,13368,711892,711.892,"10$7=49",1,0,NA,0,0,1,0,0.1,0.1,0,0,0
"76",2,1,2,26,"7$3=18",7,3,18,0,4,16,4872,1,0,0,1236,881,2000,750,0,18,0,0,0,0,76,3,1.33e-23,1.57e-08,0.999999984,14,57,1,0,0,0,0,0,0,0,0,76,76,4872,716764,716.764,"7$3=18",17,576.171,32.5310000000001,4705.643,0.321258292612819,198.550100635131,16,0.1,0.1,0.280706075849896,0.261196086403343,0.259976712062933
